date;time;ppm;temp;humidity;light;ground moisture;unprocessed ground moisture
09/19/21;21:07:46;538;22,00;83,00;16,67;36;844
09/19/21;23:07:47;417;22,00;82,00;0,00;47;791
09/20/21;01:07:47;452;21,00;83,00;0,00;51;773
09/20/21;03:07:48;400;21,00;83,00;0,00;52;768
09/20/21;05:07:48;400;20,00;86,00;0,00;55;755
09/20/21;07:07:49;415;20,00;86,00;0,83;54;761
09/20/21;09:07:49;408;20,00;84,00;377,92;54;759
09/20/21;11:07:50;331;20,00;76,00;330,42;53;764
09/20/21;13:07:50;339;21,00;65,00;191,25;52;768
09/20/21;15:07:51;335;21,00;59,00;136,67;53;765
09/20/21;17:07:51;343;21,00;67,00;68,33;52;767
09/20/21;19:07:52;346;20,00;75,00;27,92;52;769
09/20/21;19:14:15;383;20,00;74,00;22,08;52;767
